"time","A","entity_id"
"2023-08-09T15:27:44.193+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:27:47.881+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:27:51.056+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:27:54.229+02:00","18.2","jk_bms_soc_current"
"2023-08-09T15:27:56.346+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:27:59.494+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:28:02.681+02:00","18","jk_bms_soc_current"
"2023-08-09T15:28:05.844+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:28:09.020+02:00","18.2","jk_bms_soc_current"
"2023-08-09T15:28:12.162+02:00","18","jk_bms_soc_current"
"2023-08-09T15:28:18.509+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:28:21.680+02:00","18","jk_bms_soc_current"
"2023-08-09T15:28:30.128+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:28:33.321+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:28:36.468+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:28:39.635+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:28:42.805+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:28:45.971+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:28:55.477+02:00","17.04","jk_bms_soc_current"
"2023-08-09T15:28:58.648+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:29:01.814+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:29:08.696+02:00","17.04","jk_bms_soc_current"
"2023-08-09T15:29:11.866+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:29:15.024+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:29:18.183+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:29:21.358+02:00","17.23","jk_bms_soc_current"
"2023-08-09T15:29:24.528+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:29:28.237+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:29:31.402+02:00","17.23","jk_bms_soc_current"
"2023-08-09T15:29:34.577+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:29:37.749+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:29:40.914+02:00","17.23","jk_bms_soc_current"
"2023-08-09T15:29:43.558+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:29:53.065+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:29:59.923+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:30:03.092+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:30:09.432+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:30:12.594+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:30:16.308+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:30:19.464+02:00","18","jk_bms_soc_current"
"2023-08-09T15:30:19.985+02:00","16.84","jk_bms_soc_current"
"2023-08-09T15:30:23.167+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:30:26.328+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:30:29.491+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:30:35.834+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:30:42.163+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:30:45.335+02:00","17.04","jk_bms_soc_current"
"2023-08-09T15:30:48.511+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:30:54.842+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:30:58.007+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:30:59.065+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:31:08.566+02:00","18.2","jk_bms_soc_current"
"2023-08-09T15:31:11.765+02:00","18","jk_bms_soc_current"
"2023-08-09T15:31:14.926+02:00","17.23","jk_bms_soc_current"
"2023-08-09T15:31:18.094+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:31:21.265+02:00","18","jk_bms_soc_current"
"2023-08-09T15:31:24.426+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:31:27.601+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:31:30.763+02:00","18","jk_bms_soc_current"
"2023-08-09T15:31:32.883+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:31:36.040+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:31:42.374+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:31:48.714+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:31:51.920+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:31:55.048+02:00","17.23","jk_bms_soc_current"
"2023-08-09T15:31:58.221+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:32:01.392+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:32:07.728+02:00","18","jk_bms_soc_current"
"2023-08-09T15:32:08.801+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:32:11.968+02:00","17.23","jk_bms_soc_current"
"2023-08-09T15:32:15.126+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:32:18.302+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:32:21.466+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:32:24.624+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:32:30.955+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:32:34.151+02:00","17.23","jk_bms_soc_current"
"2023-08-09T15:32:37.323+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:32:40.490+02:00","18","jk_bms_soc_current"
"2023-08-09T15:32:43.657+02:00","16.84","jk_bms_soc_current"
"2023-08-09T15:32:46.816+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:32:53.155+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:32:56.331+02:00","18","jk_bms_soc_current"
"2023-08-09T15:32:59.496+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:33:02.661+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:33:05.831+02:00","17.81","jk_bms_soc_current"
"2023-08-09T15:33:18.504+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:33:21.677+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:33:24.842+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:33:28.020+02:00","17.04","jk_bms_soc_current"
"2023-08-09T15:33:34.352+02:00","17.62","jk_bms_soc_current"
"2023-08-09T15:33:37.524+02:00","17.23","jk_bms_soc_current"
"2023-08-09T15:33:40.687+02:00","16.84","jk_bms_soc_current"
"2023-08-09T15:33:43.857+02:00","17.42","jk_bms_soc_current"
"2023-08-09T15:33:47.028+02:00","17.62","jk_bms_soc_current"
